code;name;calories;protein;fat;carbo;fiber
2647437;Yogurt, plain, nonfat;-;4,23;0,087;8,08;-
2647438;Cheese, monterey jack, solid;-;22,6;32,6;1,9;-
2647439;Cheese, pasteurized process cheese food or product, American, singles;-;15,6;23,9;8,19;-
2647440;Cheese, provolone, sliced;-;23,5;28,1;2,45;-
2647441;Cheese, oaxaca, solid;-;22,1;22,1;2,4;-
2647442;Cheese, queso fresco, solid;-;18,9;23,4;2,96;-
2647443;Cheese, cotija, solid;-;23,8;27,2;2,72;-
2684440;Fish, salmon, sockeye, wild caught, raw;-;22,3;4,94;-;-
2684441;Fish, salmon, Atlantic, farm raised, raw;-;20,3;13,1;-;-
2684442;Fish, tilapia, farm raised, raw;-;19;2,48;-;-
2684443;Crustaceans, shrimp, farm raised, raw;-;15,6;0,801;0,485;-
2684444;Fish, cod, Atlantic, wild caught, raw;-;16,1;0,668;-;-
2684445;Fish, catfish, farm raised, raw;-;16,5;7,31;-;-
2684446;Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated;-;18,6;0,808;-;-
2685568;Squash, summer, green, zucchini, includes skin, raw;-;0,984;0,205;3,27;0,752
2685569;Squash, summer, yellow, includes skin, raw;-;0,891;0,135;4,39;0,956
2685570;Squash, winter, butternut, raw;-;1,15;0,168;10,5;1,96
2685571;Squash, winter, acorn, raw;-;1,25;0,182;10,5;2,64
2685572;Cabbage, bok choy, raw;-;1,02;0,234;3,51;1,26
2685573;Cauliflower, raw;-;1,64;0,238;4,72;1,95
2685574;Collards, raw;-;2,97;0,77;7,02;3,82
2685575;Brussels sprouts, raw;-;3,98;0,565;9,62;4,78
2685576;Beets, raw;-;1,69;0,302;8,79;3,12
2685577;Eggplant, raw;-;0,852;0,12;5,4;2,45
2685578;Tomatoes, whole, canned, solids and liquids, with salt added;-;0,868;0,206;4,29;0,872
2685579;Tomato, sauce, canned, with salt added;-;1,35;0,382;6,33;1,64
2685580;Tomato, paste, canned, without salt added;-;4,23;0,732;20,2;4,7
2685581;Tomatoes, crushed, canned;-;1,44;0,398;7,14;1,94
2685582;Tomato, puree, canned;-;1,58;0,265;8,04;1,97
2710815;Apricot, with skin, raw;-;0,961;0,405;10,2;1,51
2710816;Melons, honeydew, raw;-;0,531;0,216;8,15;-
2710817;Plantains, ripe, raw;-;1,16;0,893;31;2,12
2710818;Plantains, underripe, raw;-;1,23;0,685;33,6;2,53
2710819;Chia seeds, dry, raw;-;17;32,9;38,3;-
2710820;Bulgur, dry, raw;-;11,8;2,42;75,9;11,7
2710821;Wild rice, dry, raw;-;12,8;1,7;75,7;4,26
2710822;Arugula, baby, raw;-;1,65;0,325;5,37;2,28
2710823;Asparagus, green, raw;-;1,44;0,216;5,1;1,88
2710824;Avocado, Hass, peeled, raw;-;1,81;20,3;8,32;-
2710825;Rice, black, unenriched, raw;-;7,57;3,44;77,2;4,18
2710826;Corn, sweet, yellow and white kernels,  fresh, raw;-;2,79;1,63;14,7;2,43
2710827;Einkorn, grain, dry, raw;-;15,1;3,81;68,7;8,91
2710828;Farro, pearled, dry, raw;-;12,6;3,1;72,1;7,31
2710829;Fonio, grain, dry, raw;-;7,17;1,69;81,3;2,2
2710830;Khorasan, grain, dry, raw;-;14,8;2,8;71,8;10,5
2710831;Kiwifruit (kiwi), green, peeled, raw;-;1,01;0,64;13,8;2,13
2710832;Mandarin, seedless, peeled, raw;-;1,04;0,458;13,4;1,33
2710833;Mango, Tommy Atkins, peeled, raw;-;0,562;0,572;15,3;1,75
2710834;Mango, Ataulfo, peeled, raw;-;0,688;0,681;17,4;1,29
2710835;Corn flour, masa harina, white or yellow, dry, raw;-;7,56;4,34;76,7;7,04
2710836;Pear, Anjou, green, with skin, raw;-;0,312;0,371;14,8;2,64
2710837;Plum, black, with skin, raw;-;0,578;0,282;13,5;1,35
2710838;Rice, red, unenriched, dry, raw;-;8,56;3,44;76,2;4,2
2710839;Sorghum bran, white, unenriched, dry, raw;-;11,2;9,26;68,7;35
2710840;Sorghum flour, white, pearled, unenriched, dry, raw;-;10,2;3,24;73,5;3,3
2710841;Sorghum grain, white, pearled, unenriched, dry, raw;-;10,2;3,26;74,9;3,92
2710842;Sorghum, whole grain, white, dry, raw;-;10,1;4,22;73,6;8,27
2710843;Plantains, overripe, raw;-;1,17;0,99;29,2;1,79
2727566;Chicken, drumstick, meat and skin, raw;-;18,4;5,94;-0,475;-
2727567;Chicken, thigh, meat and skin, raw;-;17,1;13,4;-0,173;-
2727568;Chicken, wing, meat and skin, raw;-;18,4;10,6;-0,459;-
2727569;Chicken, breast, meat and skin, raw;-;21,4;4,78;-0,428;-
2727570;Lamb, ground, raw;-;17,5;18,6;-0,251;-
2727571;Bison, ground, raw;-;19,9;8,88;-0,15;-
2727572;Beef, short loin (NY strip steak), raw;-;21,3;11,5;0,221;-
2727573;Beef, tenderloin steak, raw;-;21,1;6,46;0,18;-
2727574;Beef, top sirloin steak, raw;-;22;5,71;0,218;-
2727575;Pork, chop, center cut, raw;-;22,8;5,48;-0,562;-
2727576;Pork, belly, with skin, raw;-;15,2;35,8;-0,705;-
2727577;Pawpaw, peeled, seeded, raw;-;1,15;-;-;3,3
2727578;Squash, pie pumpkin, peeled, seeded, raw;-;0,854;-;-;2,3
2727579;Squash, spaghetti, peeled, seeded, raw;-;0,792;-;-;1,4
2727580;Rutabaga, peeled, raw;-;0,888;-;-;2,9
2727581;Blackberries, raw;-;1,53;-;-;5,3
2727582;Tomatillos, dehusked, raw;-;1,06;-;-;1,7
2727583;Cabbage, napa, leaf, destemmed, raw;-;1,06;-;-;1,2
2727584;Leeks, bulb and greens, root removed, raw;-;1,47;-;-;3
2727585;Green onion, (scallion), bulb and greens, root removed, raw;-;0,669;-;-;2,3
2727586;Shallots, bulb, peeled, root removed, raw;-;1,38;-;-;2,2
2727587;Juice, prune, shelf-stable;-;0,423;-;-;-
2727588;Juice, pomegranate, from concentrate, shelf-stable;-;-;-;-;-
2727589;Juice, tart cherry, from concentrate, shelf-stable;-;0,147;-;-;-
2747652;Anchovies, canned in olive oil, with salt, drained;-;26,9;9,85;2,41;-
2747653;Beet greens, raw;-;1,61;0,144;4,66;2,58
2747654;Cod, Pacific or Alaskan, frozen, wild caught;-;14,2;0,216;0,524;-
2747655;Fennel, bulb, raw;-;0,922;0,14;5,49;2,05
2747656;Halibut, frozen, wild caught;-;19,1;0,592;-0,06;-
2747657;Lobster, tail only, frozen, wild caught;-;13;0,367;0,886;-
2747658;Mahi mahi, frozen, wild caught;-;19,8;0,377;0,287;-
2747659;Parsnips, raw;-;1,27;0,538;19,3;5,35
2747660;Peppers, banana or Hungarian wax, seeded, raw;-;0,723;0,131;4,97;1,79
2747661;Peppers, jalapeno, seeded, raw;-;0,621;0,149;5,08;1,72
2747662;Peppers, poblano, seeded, raw;-;1,43;0,191;5,14;2,07
2747663;Peppers, serrano, seeded, raw;-;0,856;0,141;6,14;2,52
2747664;Radicchio, raw;-;1,31;0,143;4,96;2,11
2747665;Radishes, red, raw;-;0,656;0,083;4,06;1,31
2747666;Scallops, bay, Patagonian, frozen, wild caught;-;16,4;0,419;2,28;-
2747667;Scallops, sea, frozen, wild caught;-;13,5;0,493;1,97;-
2747668;Sea bass, Chilean, frozen, wild caught;-;14,9;16,6;0,139;-
2747669;Snapper, frozen, wild caught;-;20,7;0,569;0,441;-
2747670;Snow crab, legs only, frozen  ;-;15,5;0,294;1,11;-
2747671;Squid (calamari), frozen, tubes only;-;8,81;0,551;0,932;-
2747672;Swordfish, frozen, wild caught;-;19,2;8,12;0,45;-
2747673;Tuna, ahi or yellowfin, frozen, wild caught;-;24,7;0,388;-0,104;-
2747674;Turnips, raw;-;0,953;0,119;7,27;1,92
2747675;Watermelon, seedless, flesh only, raw;-;0,871;-;-;-
2747676;Watermelon, seedless, rind only, raw;-;0,531;0,07;4,17;1,54
