code;name;calories;protein;fat;carbo;fiber
2708022;Cobbler, peach;217;2,22;8,66;33;1,7
2708023;Crisp, apple;215;2,81;9,59;30,2;2,7
2708024;Fritter, plain;378;6,56;26,9;27,5;0,9
2708025;Fritter, fruit;403;6,3;25,6;37,3;1,2
2708026;Crisp, berry;228;3,41;9,78;32,8;5
2708027;Crisp, cherry;234;3,13;9,61;34,7;2,8
2708028;Crisp, peach;214;2,98;9,59;29,6;2,7
2708029;Cream puff, eclair, custard or cream filled, NS as to icing;280;4,2;24,4;11;0,3
2708030;Cream puff, eclair, custard or cream filled, not iced;264;4,76;21,5;12,9;0,4
2708031;Cream puff, eclair, custard or cream filled, iced;334;4,41;18,5;37,4;0,9
2708032;Cream puff, eclair, custard or cream filled, iced, reduced fat;242;3,48;7,24;41,9;1
2708033;Cream puff, no filling or icing;360;9;25,9;22,8;0,8
2708034;Sopaipilla, without syrup or honey;367;5,79;20,2;41,5;1,4
2708035;Sopaipilla with syrup or honey;361;4,38;16,2;51,7;1,1
2708036;Crepe, chocolate filled;170;4,87;6,52;22,9;0,2
2708037;Crepe, fruit filled;188;4,57;7,12;26,6;1,2
2708038;Tamale, sweet;259;2,22;12,6;35,6;2,3
2708039;Strudel, apple;281;1,96;14,1;37,2;0,8
2708040;Strudel, berry;291;2,43;14,2;39,2;2,7
2708041;Strudel, cherry;296;2,22;14,1;40,7;1
2708042;Strudel, cheese;358;5,85;19,8;39,1;0,4
2708043;Strudel, peach;281;2,09;14,1;36,7;0,9
2708044;Baklava;440;6,58;29,3;37,6;2,5
2708045;Basbousa;282;4,81;9,94;43,8;0,8
2708046;Turnover, fruit;316;3;16,1;42,6;2,6
2708047;Pastry, fruit-filled;400;4,76;19,6;54,4;4
2708048;Pastry, made with bean or lotus seed paste filling, baked;340;6,99;4,45;68,1;2,7
2708049;Pastry, made with bean paste and salted egg yolk filling, baked;339;8,59;8,61;57;2,2
2708050;Pastry, Chinese, made with rice flour;242;2,78;6;45;0,5
2708051;Pastry, cookie type, fried;397;5,97;25,7;35,5;1
2708052;Pastry, Italian, with cheese;267;7,52;10,9;35,1;0,8
2708053;Pastry, puff;558;7,4;38,5;45,7;1,5
2708054;Pastry, puff, custard or cream filled, iced or not iced;410;5,68;29,7;30,1;0,8
2708055;Cheese pastry puffs;265;9,3;19,5;13,4;0,4
2708056;Pastry, mainly flour and water, fried;434;7,75;18,1;59,2;3,7
2708057;Empanada, fruit;260;2,67;11,5;37;1,8
2708058;Breakfast pastry, NFS;371;5,4;18,5;47,8;1,9
2708059;Danish pastry, plain or spice;403;7;22,4;44,6;1,3
2708060;Danish pastry, with fruit;371;5,4;18,5;47,8;1,9
2708061;Danish pastry, with cheese;374;8;21,9;37,2;1
2708062;Doughnut, NFS;426;5,52;22,9;49,5;1,8
2708063;Doughnut, cake type, plain;434;5,31;24,9;47,1;1,7
2708064;Doughnut, chocolate;417;5,2;22,4;52;3,7
2708065;Doughnut, cake type, powdered sugar;431;4,9;23;51,1;1,6
2708066;Doughnut, cake type, with icing;431;4,25;23,2;51,2;1,4
2708067;Doughnut, cake type, chocolate icing;427;4,47;23,5;50,3;1,5
2708068;Doughnut, chocolate, with chocolate icing;413;5,42;22,7;51;3,9
2708069;Doughnut holes;426;5,52;22,9;49,5;1,8
2708070;Churros;419;6,05;22,2;48,9;2,6
2708071;Beignet;417;5,46;20,2;53,7;1,9
2708072;Doughnut, yeast type;421;6,14;22,7;47,9;2,1
2708073;Doughnut, yeast type, with chocolate icing;416;5,13;21,7;51;1,9
2708074;Doughnut, jelly;390;4,94;18,2;52,3;1,9
2708075;Doughnut, custard-filled;363;5,2;18,9;42,9;1,7
2708076;Doughnut, custard-filled, with icing;368;4,52;18,7;46,2;1,6
2708077;Breakfast tart;385;4,01;9,02;71,8;1,8
